,nconst,name,roles,Degree centrality,Eigenvector centrality,Closeness centrality,Betweenness centrality,CineMAC rank
2032,nm0724798,Tony Richardson,director,5.621285936077e-05,0.0009525760820916,0.06731613677264547,0.00022395871908156004,0.01713722110829485
775,nm0005366,Jay Roach,"director,producer",0.00010707211306815001,5.835788511212e-05,0.06788681497733394,0.0004929736981232,0.017136304668409354
1596,nm0478588,Ian La Frenais,writer,8.030408480111e-05,0.0002448724008252,0.06793997271487037,0.00027973822655464004,0.01713622185676283
2076,nm0334457,Michael Grais,"writer,producer",5.0859253707369995e-05,7.079146239704e-05,0.06820204050210288,0.00021900587387132001,0.017135674273019652
2811,nm0775419,Raymond L. Schrock,writer,0.00012313293002837002,0.00342218126345644,0.0648272674754477,0.00015741101600496,0.017132498171234366
2139,nm0437189,Aben Kandel,writer,0.00010171850741473999,0.0033867764806040203,0.0648272674754477,0.00021357359892108,0.017132334015596884
820,nm0102722,Gérard Brach,writer,6.156646501418001e-05,0.00020806594933192002,0.06778402409754995,0.00047542641490940006,0.017132270731701364
3413,nm0551128,Rob Marshall,director,5.0859253707369995e-05,0.00029396080271216,0.06804433772344706,0.00012545074601384002,0.017128652131470107
1271,nm0012155,Gilbert Adler,"director,producer,writer",7.762728197440001e-05,8.109619934634001e-05,0.06801134572959344,0.00033653963672892003,0.017126652211910776
3771,nm0005572,Lili Fini Zanuck,"producer,director",6.156646501418001e-05,0.00013223023054718,0.06819264612941385,0.00011081702835388,0.01712431496333227
191,nm0775055,Leonard Schrader,"writer,director",5.0859253707369995e-05,0.0001037111692568,0.06705761431633293,0.00127950695072788,0.017122922922506247
943,nm0003298,Scott Rosenberg,writer,7.762728197440001e-05,4.728204487788e-05,0.06793503705019127,0.00042693353767024004,0.017121719978678448
535,nm0842605,Jonathan Swift,writer,3.479843674714e-05,0.00017349947772820002,0.06762824633581896,0.00065032618105144,0.017121717607836436
4679,nm0718106,Gottfried Reinhardt,"producer,director,writer",4.8182450880660004e-05,0.00273012876477494,0.06562799728635926,7.762072674064e-05,0.017120982307188875
2129,nm0001969,Ray Bradbury,writer,6.424326784089e-05,0.00107561489318644,0.06712821535393818,0.00021449061867752004,0.017120641033410756
4201,nm0006276,Victor Schertzinger,director,0.00010707211306815001,0.0044269662044787396,0.0638572956895832,9.111139570476e-05,0.017120611350708716
3974,nm0001887,Paul Brickman,"writer,director",4.550564805396e-05,0.00014125395179938,0.06819375121540154,0.00010020198060436,0.01712017819896481
2008,nm0677943,Daniel Petrie Jr.,"writer,director",8.833449328122e-05,8.033101288062e-05,0.06807956448233742,0.00022731199217572003,0.017118885495168743
1139,nm0204030,Will Davies,writer,8.298088762781001e-05,9.339344157182001e-05,0.06790927355910048,0.00036716986507948004,0.0171132044383449
1259,nm0572132,Andrew V. McLaglen,"director,producer",7.2273676321e-05,0.0007437900448007801,0.06729675918151941,0.0003397261133904,0.0171131372540079
2584,nm0322248,Mitch Glazer,"director,writer",5.621285936077e-05,0.0001500022330918,0.06807130493861109,0.00017344839172056002,0.017112742105696056
1864,nm0771065,Jay Scherick,writer,8.565769045452e-05,9.931943735626002e-05,0.06802178973231603,0.00024248445676344004,0.01711231282922256
3512,nm0936537,William Wisher,writer,4.550564805396e-05,7.101040951782e-05,0.06821199030660624,0.00012046712353624,0.017112243371928564
5811,nm0268779,Howard Fast,writer,5.353605653407e-05,0.00173904630333638,0.06659966764263668,5.1407419541280003e-05,0.017110914355512104
2942,nm0866062,Michael Tolkin,writer,4.282884522726e-05,0.00011347552678078,0.06813743745850806,0.00014959800222008002,0.017110834958184048
2493,nm0005222,Sam Mendes,"director,producer",8.030408480111e-05,0.00012698949519786,0.06805149020812781,0.00018039449024552002,0.01710979456959308
1499,nm0787399,Steve Shagan,"writer,producer",4.015204240055001e-05,0.00037178802248838004,0.06773111002019973,0.00029421098331824003,0.017109315267101723
3006,nm0848217,Ted Tally,writer,6.156646501418001e-05,0.00016628077480184,0.06806084572648535,0.00014527771771444002,0.017108492671003953
3175,nm0001162,Griffin Dunne,"director,producer",6.156646501418001e-05,0.0001094010972269,0.06811372520455482,0.0001403803599622,0.017106268281689523
2007,nm0003031,Caroline Thompson,"writer,director",9.101129610792e-05,0.0001268342147986,0.06797673855100557,0.00022754279477303998,0.01710553171417128
6405,nm0461241,Edward Knoblock,writer,4.550564805396e-05,0.0027104769728324,0.06562390350022221,3.98553560620988e-05,0.017104935369292668
428,nm0000626,John Sayles,"writer,director",0.00010707211306815001,7.454926418550001e-05,0.06748183902884906,0.000744093648504,0.01710188851365168
4669,nm0718469,Charles Reisner,"director,producer",0.0001472241554687,0.0057252728695028204,0.06245464057525767,7.806602869412e-05,0.017101300907230825
1335,nm0925380,Robb White,writer,4.015204240055001e-05,0.00033251322993874,0.06771040330820531,0.00032096081030868004,0.017101007347713318
2700,nm0223248,Karen DeWolf,writer,0.00016060816960222,0.0042003955547219,0.06387571247504913,0.0001660900690274,0.01710070156710016
699,nm0004744,Lawrence Bender,"producer,writer",8.833449328122e-05,5.846709496822e-05,0.067709858565705,0.00054112705856472,0.01709944680312979
2650,nm0000750,Jon Amiel,"director,producer",8.030408480111e-05,9.644371674134001e-05,0.06804598816338411,0.00017038610673492002,0.01709828051791537
3917,nm0438449,Mitchell Kapner,writer,4.282884522726e-05,4.53197979487e-05,0.06819540891154091,0.00010284998975348,0.017096601886117585
1471,nm0427468,Amy Holden Jones,"writer,director",7.2273676321e-05,8.335045192634e-05,0.06792681253581485,0.00030035192847136004,0.017095697148133387
3953,nm0445650,Harry Keller,"producer,director",8.030408480111e-05,0.00174409146749628,0.06644980458726461,0.00010117827963360002,0.017093844604798902
1945,nm0770961,Fred Schepisi,director,7.762728197440001e-05,0.00011695191300956,0.06794710327455918,0.00023241403553956,0.017093524126270673
7441,nm0660923,Edward E. Paramore Jr.,writer,7.495047914770001e-05,0.0037578858857304203,0.06451222223073914,2.7616497147076857e-05,0.017093168773191086
2054,nm0143596,Jim Cash,writer,7.2273676321e-05,0.00015247074916144,0.0679257160843563,0.00022196877198988002,0.017093107320457154
4055,nm0956052,Howard Zieff,director,4.550564805396e-05,0.00032948439187206003,0.06789557753432612,9.679205970116001e-05,0.017091839908488327
1695,nm0866572,Maurice Tombragel,writer,0.00012313293002837002,0.0019312374127356002,0.06604722703979532,0.0002652671233554,0.01709171612647867
3895,nm0225820,Joan Didion,writer,5.353605653407e-05,0.0008500953970795001,0.06735762077024039,0.0001039998378874,0.01709131301543534
3894,nm0242869,John Gregory Dunne,writer,5.353605653407e-05,0.0008500953970795001,0.06735762077024039,0.0001039998378874,0.01709131301543534
