tconst,Film,Country,In-Degree Centrality,PageRank Score,Betweenness Centrality,CineMAC rank
tt0029577,Slave Ship (1937),USA,0.0001128371008387,4.3389466101005205e-05,1.1376946450700525e-06,5.245475386159175e-05
tt0476969,Choppertown: The Sinners (2005),USA,0.0001128371008387,4.419399376411034e-05,2.673864948785682e-07,5.2432827032562966e-05
tt0064387,Goyôkin (1969),Japan,0.0001128371008387,4.429327434197048e-05,1.1171927503433693e-07,5.241403148523494e-05
tt0029747,Way Out West (1937),USA,0.0001128371008387,4.421922137864416e-05,1.7507589420953788e-07,5.241046603718456e-05
tt0125263,Is There Sex After Death? (1971),USA,0.0001128371008387,4.2138065468179606e-05,2.2311048201344007e-06,5.240209037567133e-05
tt0041094,The Adventures of Ichabod and Mr. Toad (1949),USA,0.0001128371008387,4.350781277158073e-05,8.399704825730902e-07,5.239496136428461e-05
tt0466923,The Perfect Stranger (2005),USA,0.0001128371008387,4.419399376411034e-05,0.0,5.234369820093678e-05
tt0076137,Herbie Goes to Monte Carlo (1977),USA,0.0001128371008387,3.45637346050282e-05,9.4981394726477e-06,5.229965830545863e-05
tt0861777,It Came from Another World! (2007),USA,0.0001128371008387,4.403217865977633e-05,8.48846015487518e-09,5.229258931954374e-05
tt0023305,One Way Passage (1932),USA,0.0001128371008387,4.400889317624954e-05,0.0,5.2281998004983176e-05
tt0070169,Hell Up in Harlem (1973),USA,0.0001128371008387,1.910820186710461e-05,2.4885755162266124e-05,5.227701928935691e-05
tt0962726,High School Musical 3: Senior Year (2008),USA,0.0001128371008387,3.440194086965293e-05,9.52160386647359e-06,5.225354852494217e-05
tt0157503,Drop Dead Gorgeous (1999),USA,0.0001128371008387,2.692069079934433e-05,1.6890211786067002e-05,5.221600114137044e-05
tt0190488,It's a Bear (1921),USA,0.0001128371008387,4.361952682846538e-05,0.0,5.215220922238846e-05
tt0070022,Electra Glide in Blue (1973),USA,0.0001128371008387,4.0253402066827513e-05,3.3387491532999875e-06,5.214308401960917e-05
tt0026046,Ah Wilderness! (1935),USA,3.7612366946251926e-05,0.000118798982241,0.0,5.213711639575065e-05
tt0012111,Disraeli (1921),USA,3.7612366946251926e-05,0.000118798982241,0.0,5.213711639575065e-05
tt0098216,Roller Blade Warriors: Taken by Force (1989),USA,0.0001128371008387,4.3532509026460566e-05,0.0,5.212320328838685e-05
tt0053137,On the Beach (1959),USA,0.0001128371008387,4.350620315519608e-05,0.0,5.211443466463203e-05
tt0035019,The Major and the Minor (1942),USA,7.522473389250385e-05,8.104152498188401e-05,0.0,5.208875295812929e-05
tt0094356,Ying hung ho hon (1987),Hong Kong,0.0001128371008387,4.081860489911568e-05,2.5816553634651627e-06,5.207912036709361e-05
tt0029284,My Favorite Wife (1940),USA,0.0001128371008387,4.329440997645055e-05,0.0,5.2043836938383516e-05
tt0038166,The Three Caballeros (1944),USA,0.0001128371008387,4.328829143377389e-05,0.0,5.204179742415797e-05
tt6927078,Salomé (1922),USA,0.0001128371008387,4.322836481763152e-05,0.0,5.202182188544384e-05
tt0223897,Pay It Forward (2000),USA,0.0001128371008387,4.001204564830752e-05,3.135880809863536e-06,5.1995009098957013e-05
tt0026121,Black Fury (1935),USA,0.0001128371008387,4.313699365070769e-05,0.0,5.199136482980256e-05
tt0108525,Wayne's World 2 (1993),USA,0.0001128371008387,2.470113026740427e-05,1.84212815424182e-05,5.198650421617415e-05
tt0017088,Lovey Mary (1926),USA,3.7612366946251926e-05,0.0001182895349371,0.0,5.196730062778397e-05
tt0019988,His Glorious Night (1929),USA,3.7612366946251926e-05,0.0001182895349371,0.0,5.196730062778397e-05
tt0017460,There You Are! (1926),USA,3.7612366946251926e-05,0.0001182895349371,0.0,5.196730062778397e-05
tt0787149,Salome (1953),USA,0.0001128371008387,3.471523294029851e-05,8.26634544748928e-06,5.19395597421626e-05
tt0058626,Surf Party (1964),USA,7.522473389250385e-05,8.051927105184311e-05,0.0,5.1914668314782324e-05
tt0024450,Picture Snatcher (1933),USA,0.0001128371008387,4.2882203107582775e-05,1.0421942745707862e-08,5.190990862967616e-05
tt0023985,The Emperor Jones (1933),USA,7.522473389250385e-05,8.047918307846634e-05,0.0,5.1901305656990065e-05
tt0062864,David Holzman's Diary (1967),USA,0.0001128371008387,4.2638456811675056e-05,1.8686401868718286e-07,5.188747388968742e-05
tt0118736,Six-String Samurai (1998),USA,0.0001128371008387,3.062002880456952e-05,1.2074916682495165e-05,5.1844015441921566e-05
tt0031260,Each Dawn I Die (1939),USA,0.0001128371008387,3.631773339754765e-05,6.312584868508843e-06,5.182247303491883e-05
tt0025410,Little Miss Marker (1934),USA,0.0001128371008387,4.242838095925874e-05,0.0,5.175516059931958e-05
tt0021746,Cimarron (1931),USA,0.0001128371008387,4.24042290769696e-05,0.0,5.174710997188987e-05
